Zona,Localidad,Latitud,Longitud,Timezone
Norte,Campana,-34.1687,-58.9591,-10800
Sur,Avellaneda,-29.1176,-59.6583,-10800
Norte,San Isidro,-12.1167,-77.05,-18000
Sur,Quilmes,-34.7242,-58.2527,-10800
Norte,Tigre,-34.426,-58.5796,-10800
Sur,Berazategui,-34.7633,-58.2117,-10800
Norte,Pilar,-9.5972,-35.9567,-10800
Sur,Lomas de Zamora,-34.7609,-58.4063,-10800
Norte,Vicente López,-34.5235,-58.4744,-10800
Sur,Lanús,-34.7033,-58.3953,-10800
Norte,Escobar,-31.3909,-64.22,-10800
Sur,Florencio Varela,-34.8272,-58.3956,-10800
Norte,San Fernando,15.0286,120.6898,28800
Sur,Ezeiza,-34.8479,-58.5287,-10800
Norte,General Pacheco,-34.4488,-58.643,-10800
Sur,Monte Grande,18.0875,-67.1074,-14400
Norte,José C. Paz,-34.5119,-58.7777,-10800
Sur,Temperley,-34.7758,-58.3969,-10800
Norte,Malvinas Argentinas,-31.3833,-64.0667,-10800
Sur,Adrogué,-34.7974,-58.3887,-10800
Norte,Hurlingham,-34.5883,-58.6391,-10800
Sur,Glew,-34.8915,-58.3776,-10800
